Song,Date,Total Number of Plays for Date
Macao,2020-01-08,5672
Macao,2020-01-09,3311
Macao,2020-01-10,3876
Macao,2020-01-11,4652
Macao,2020-01-12,4521
Macao,2020-01-13,3142
Macao,2020-01-14,3368
Macao,2020-01-15,1729
Macao,2020-01-16,4128
Macao,2020-01-17,2243
Macao,2020-01-18,4312
Macao,2020-01-19,5461
Macao,2020-01-20,1679
Macao,2020-01-21,6408
Macao,2020-01-22,2698
Macao,2020-01-23,1307
Macao,2020-01-24,926
Macao,2020-01-25,2364
Macao,2020-01-26,4554
Macao,2020-01-27,2707
Macao,2020-01-28,2883
Macao,2020-01-29,1888
Macao,2020-01-30,4068
Macao,2020-01-31,3592
"Macedonia, The Former Yugoslav Republic of",2019-12-31,697
"Macedonia, The Former Yugoslav Republic of",2020-01-01,4488
"Macedonia, The Former Yugoslav Republic of",2020-01-02,2772
"Macedonia, The Former Yugoslav Republic of",2020-01-03,3462
"Macedonia, The Former Yugoslav Republic of",2020-01-04,3662
"Macedonia, The Former Yugoslav Republic of",2020-01-05,3648
"Macedonia, The Former Yugoslav Republic of",2020-01-06,3060
"Macedonia, The Former Yugoslav Republic of",2020-01-07,2732
"Macedonia, The Former Yugoslav Republic of",2020-01-08,5326
"Macedonia, The Former Yugoslav Republic of",2020-01-09,4348
"Macedonia, The Former Yugoslav Republic of",2020-01-10,3528
"Macedonia, The Former Yugoslav Republic of",2020-01-11,4326
"Macedonia, The Former Yugoslav Republic of",2020-01-12,3841
"Macedonia, The Former Yugoslav Republic of",2020-01-13,576
"Macedonia, The Former Yugoslav Republic of",2020-01-14,2633
"Macedonia, The Former Yugoslav Republic of",2020-01-15,3898
"Macedonia, The Former Yugoslav Republic of",2020-01-16,3127
"Macedonia, The Former Yugoslav Republic of",2020-01-17,3576
"Macedonia, The Former Yugoslav Republic of",2020-01-18,3215
"Macedonia, The Former Yugoslav Republic of",2020-01-19,1792
"Macedonia, The Former Yugoslav Republic of",2020-01-20,5456
"Macedonia, The Former Yugoslav Republic of",2020-01-21,2865
"Macedonia, The Former Yugoslav Republic of",2020-01-22,1030
"Macedonia, The Former Yugoslav Republic of",2020-01-23,2162
"Macedonia, The Former Yugoslav Republic of",2020-01-24,2620
"Macedonia, The Former Yugoslav Republic of",2020-01-25,3752
"Macedonia, The Former Yugoslav Republic of",2020-01-26,2928
"Macedonia, The Former Yugoslav Republic of",2020-01-27,2099
"Macedonia, The Former Yugoslav Republic of",2020-01-28,2637
"Macedonia, The Former Yugoslav Republic of",2020-01-29,3355
"Macedonia, The Former Yugoslav Republic of",2020-01-30,2472
"Macedonia, The Former Yugoslav Republic of",2020-01-31,3315
Madagascar,2020-01-01,4768
Madagascar,2020-01-02,3071
Madagascar,2020-01-03,3005
Madagascar,2020-01-04,3112
Madagascar,2020-01-05,4884
Madagascar,2020-01-06,4211
Madagascar,2020-01-07,3227
Madagascar,2020-01-08,3787
Madagascar,2020-01-09,3199
Madagascar,2020-01-10,1801
Madagascar,2020-01-11,2775
Madagascar,2020-01-12,3569
Madagascar,2020-01-13,3047
Madagascar,2020-01-14,3332
Madagascar,2020-01-15,2435
Madagascar,2020-01-16,5025
Madagascar,2020-01-17,3654
Madagascar,2020-01-18,4079
Madagascar,2020-01-19,3119
Madagascar,2020-01-20,3950
Madagascar,2020-01-21,2352
Madagascar,2020-01-22,1012
Madagascar,2020-01-23,3573
Madagascar,2020-01-24,3089
Madagascar,2020-01-25,2463
Madagascar,2020-01-26,4160
Madagascar,2020-01-27,3322
Madagascar,2020-01-28,2541
Madagascar,2020-01-29,3280
Madagascar,2020-01-30,4137
Madagascar,2020-01-31,1606
Malawi,2019-12-31,1859
Malawi,2020-01-01,5589
Malawi,2020-01-02,2662
Malawi,2020-01-03,4330
Malawi,2020-01-04,3147
Malawi,2020-01-05,3575
Malawi,2020-01-06,2889
Malawi,2020-01-07,2497
Malawi,2020-01-08,3005
Malawi,2020-01-09,3097
Malawi,2020-01-10,4628
Malawi,2020-01-11,5081
Malawi,2020-01-12,1599
Malawi,2020-01-13,1509
Malawi,2020-01-14,2864
Malawi,2020-01-15,4482
Malawi,2020-01-16,4190
Malawi,2020-01-17,2500
Malawi,2020-01-18,2665
Malawi,2020-01-19,2990
Malawi,2020-01-20,3171
Malawi,2020-01-21,3788
Malawi,2020-01-22,2348
Malawi,2020-01-23,3636
Malawi,2020-01-24,1726
Malawi,2020-01-25,3706
Malawi,2020-01-26,4776
Malawi,2020-01-27,2491
Malawi,2020-01-28,4628
Malawi,2020-01-29,3966
Malawi,2020-01-30,2876
Malawi,2020-01-31,1998
Malaysia,2019-12-31,1077
Malaysia,2020-01-01,4925
Malaysia,2020-01-02,3109
Malaysia,2020-01-03,1873
Malaysia,2020-01-04,4313
Malaysia,2020-01-05,2872
Malaysia,2020-01-06,3261
Malaysia,2020-01-07,3839
Malaysia,2020-01-08,2043
Malaysia,2020-01-09,2970
Malaysia,2020-01-10,1879
Malaysia,2020-01-11,5423
Malaysia,2020-01-12,3168
Malaysia,2020-01-13,4310
Malaysia,2020-01-14,3824
Malaysia,2020-01-15,4807
Malaysia,2020-01-16,2773
Malaysia,2020-01-17,2169
Malaysia,2020-01-18,3206
Malaysia,2020-01-19,3696
Malaysia,2020-01-20,4535
Malaysia,2020-01-21,4011
Malaysia,2020-01-22,6130
Malaysia,2020-01-23,3170
Malaysia,2020-01-24,2626
Malaysia,2020-01-25,2962
Malaysia,2020-01-26,3871
Malaysia,2020-01-27,2807
Malaysia,2020-01-28,3358
Malaysia,2020-01-29,4531
Malaysia,2020-01-30,2639
Malaysia,2020-01-31,1627
Maldives,2019-12-31,153
Maldives,2020-01-01,3868
Maldives,2020-01-02,3099
Maldives,2020-01-03,4094
Maldives,2020-01-04,3086
Maldives,2020-01-05,3860
Maldives,2020-01-06,2235
Maldives,2020-01-07,3105
Maldives,2020-01-08,2890
Maldives,2020-01-09,3216
Maldives,2020-01-10,3445
Maldives,2020-01-11,3216
Maldives,2020-01-12,2327
Maldives,2020-01-13,4137
Maldives,2020-01-14,4661
Maldives,2020-01-15,2912
Maldives,2020-01-16,3868
Maldives,2020-01-17,3859
Maldives,2020-01-18,4000
Maldives,2020-01-19,4966
Maldives,2020-01-20,2332
Maldives,2020-01-21,4912
Maldives,2020-01-22,4644
Maldives,2020-01-23,3204
Maldives,2020-01-24,3968
Maldives,2020-01-25,2512
Maldives,2020-01-26,1898
Maldives,2020-01-27,3723
Maldives,2020-01-28,3271
Maldives,2020-01-29,4462
Maldives,2020-01-30,4961
Maldives,2020-01-31,1626
Mali,2019-12-31,419
Mali,2020-01-01,3253
Mali,2020-01-02,2683
Mali,2020-01-03,2402
Mali,2020-01-04,2790
Mali,2020-01-05,2880
Mali,2020-01-06,5062
Mali,2020-01-07,1499
Mali,2020-01-08,3695
Mali,2020-01-09,3686
Mali,2020-01-10,2190
Mali,2020-01-11,3253
Mali,2020-01-12,3221
Mali,2020-01-13,1034
Mali,2020-01-14,4106
Mali,2020-01-15,3306
Mali,2020-01-16,3629
Mali,2020-01-17,3966
Mali,2020-01-18,2304
Mali,2020-01-19,2445
Mali,2020-01-20,3775
Mali,2020-01-21,4702
Mali,2020-01-22,1984
Mali,2020-01-23,6677
Mali,2020-01-24,2688
Mali,2020-01-25,2043
Mali,2020-01-26,2773
Mali,2020-01-27,4655
Mali,2020-01-28,5079
Mali,2020-01-29,1930
Mali,2020-01-30,3528
Mali,2020-01-31,3212
Malta,2019-12-31,147
Malta,2020-01-01,2712
Malta,2020-01-02,2827
Malta,2020-01-03,2833
Malta,2020-01-04,1784
Malta,2020-01-05,3634
Malta,2020-01-06,2696
Malta,2020-01-07,2248
Malta,2020-01-08,4904
Malta,2020-01-09,4343
Malta,2020-01-10,3588
Malta,2020-01-11,3257
Malta,2020-01-12,4895
Malta,2020-01-13,3497
Malta,2020-01-14,1903
Malta,2020-01-15,4072
Malta,2020-01-16,3121
Malta,2020-01-17,2489
Malta,2020-01-18,3585
Malta,2020-01-19,3571
Malta,2020-01-20,3309
Malta,2020-01-21,2968
Malta,2020-01-22,4787
Malta,2020-01-23,4005
Malta,2020-01-24,4246
Malta,2020-01-25,1279
Malta,2020-01-26,3497
Malta,2020-01-27,2388
Malta,2020-01-28,5030
Malta,2020-01-29,1826
Malta,2020-01-30,1735
Malta,2020-01-31,2343
Marshall Islands,2019-12-31,1020
Marshall Islands,2020-01-01,4786
Marshall Islands,2020-01-02,2320
Marshall Islands,2020-01-03,2986
Marshall Islands,2020-01-04,3135
Marshall Islands,2020-01-05,1032
Marshall Islands,2020-01-06,2574
Marshall Islands,2020-01-07,5463
Marshall Islands,2020-01-08,2406
Marshall Islands,2020-01-09,4289
Marshall Islands,2020-01-10,1353
Marshall Islands,2020-01-11,3318
Marshall Islands,2020-01-12,2322
Marshall Islands,2020-01-13,2851
Marshall Islands,2020-01-14,2662
Marshall Islands,2020-01-15,4655
Marshall Islands,2020-01-16,3089
Marshall Islands,2020-01-17,3292
Marshall Islands,2020-01-18,4283
Marshall Islands,2020-01-19,4158
Marshall Islands,2020-01-20,2646
Marshall Islands,2020-01-21,4225
Marshall Islands,2020-01-22,3563
Marshall Islands,2020-01-23,3164
Marshall Islands,2020-01-24,3875
Marshall Islands,2020-01-25,5125
Marshall Islands,2020-01-26,3261
Marshall Islands,2020-01-27,1357
Marshall Islands,2020-01-28,2626
Marshall Islands,2020-01-29,3208
Marshall Islands,2020-01-30,1247
Marshall Islands,2020-01-31,3209
Martinique,2019-12-31,569
Martinique,2020-01-01,4493
Martinique,2020-01-02,3381
Martinique,2020-01-03,2384
Martinique,2020-01-04,2931
Martinique,2020-01-05,1646
Martinique,2020-01-06,3535
Martinique,2020-01-07,4419
Martinique,2020-01-08,4152
Martinique,2020-01-09,5309
Martinique,2020-01-10,4698
Martinique,2020-01-11,1360
Martinique,2020-01-12,1926
Martinique,2020-01-13,2678
Martinique,2020-01-14,4481
Martinique,2020-01-15,1404
Martinique,2020-01-16,3100
Martinique,2020-01-17,2875
Martinique,2020-01-18,3628
Martinique,2020-01-19,2833
Martinique,2020-01-20,2320
Martinique,2020-01-21,4229
Martinique,2020-01-22,4379
Martinique,2020-01-23,3285
Martinique,2020-01-24,4413
Martinique,2020-01-25,2992
Martinique,2020-01-26,2563
Martinique,2020-01-27,2914
Martinique,2020-01-28,2852
Martinique,2020-01-29,4001
Martinique,2020-01-30,2549
Martinique,2020-01-31,2339
Mauritania,2019-12-31,576
Mauritania,2020-01-01,5156
Mauritania,2020-01-02,3268
Mauritania,2020-01-03,3090
Mauritania,2020-01-04,2017
Mauritania,2020-01-05,3570
Mauritania,2020-01-06,2736
Mauritania,2020-01-07,1940
Mauritania,2020-01-08,4213
Mauritania,2020-01-09,2356
Mauritania,2020-01-10,2333
Mauritania,2020-01-11,1348
Mauritania,2020-01-12,3593
Mauritania,2020-01-13,2633
Mauritania,2020-01-14,2407
Mauritania,2020-01-15,5840
Mauritania,2020-01-16,3293
Mauritania,2020-01-17,1964
Mauritania,2020-01-18,4531
Mauritania,2020-01-19,3970
Mauritania,2020-01-20,2691
Mauritania,2020-01-21,2021
Mauritania,2020-01-22,2418
Mauritania,2020-01-23,4062
Mauritania,2020-01-24,2902
Mauritania,2020-01-25,2599
Mauritania,2020-01-26,2385
Mauritania,2020-01-27,5156
Mauritania,2020-01-28,2855
Mauritania,2020-01-29,2067
Mauritania,2020-01-30,4854
Mauritania,2020-01-31,408
Mauritius,2019-12-31,595
Mauritius,2020-01-01,4187
Mauritius,2020-01-02,3793
Mauritius,2020-01-03,3602
Mauritius,2020-01-04,4887
Mauritius,2020-01-05,2441
Mauritius,2020-01-06,4052
Mauritius,2020-01-07,3296
Mauritius,2020-01-08,4107
Mauritius,2020-01-09,2671
Mauritius,2020-01-10,4417
Mauritius,2020-01-11,2725
Mauritius,2020-01-12,3241
Mauritius,2020-01-13,3757
Mauritius,2020-01-14,4146
Mauritius,2020-01-15,4611
Mauritius,2020-01-16,3679
Mauritius,2020-01-17,3251
Mauritius,2020-01-18,4773
Mauritius,2020-01-19,4339
Mauritius,2020-01-20,4392
Mauritius,2020-01-21,2962
Mauritius,2020-01-22,2404
Mauritius,2020-01-23,5353
Mauritius,2020-01-24,4249
Mauritius,2020-01-25,4260
Mauritius,2020-01-26,4232
Mauritius,2020-01-27,1018
Mauritius,2020-01-28,3371
Mauritius,2020-01-29,2079
Mauritius,2020-01-30,2300
Mauritius,2020-01-31,2097
Mayotte,2019-12-31,1316
Mayotte,2020-01-01,1907
Mayotte,2020-01-02,5558
Mayotte,2020-01-03,3776
Mayotte,2020-01-04,4030
Mayotte,2020-01-05,2283
Mayotte,2020-01-06,4345
Mayotte,2020-01-07,1676
Mayotte,2020-01-08,3941
Mayotte,2020-01-09,3291
Mayotte,2020-01-10,5797
Mayotte,2020-01-11,4584
Mayotte,2020-01-12,2788
Mayotte,2020-01-13,1641
Mayotte,2020-01-14,2478
Mayotte,2020-01-15,2635
Mayotte,2020-01-16,2959
Mayotte,2020-01-17,4573
Mayotte,2020-01-18,3571
Mayotte,2020-01-19,2430
Mayotte,2020-01-20,2657
Mayotte,2020-01-21,4303
Mayotte,2020-01-22,3517
Mayotte,2020-01-23,4026
Mayotte,2020-01-24,5553
Mayotte,2020-01-25,2963
Mayotte,2020-01-26,4519
Mayotte,2020-01-27,4261
Mayotte,2020-01-28,2267
Mayotte,2020-01-29,2112
Mayotte,2020-01-30,3358
Mayotte,2020-01-31,3494
Mexico,2019-12-31,868
Mexico,2020-01-01,4184
Mexico,2020-01-02,3203
Mexico,2020-01-03,2769
Mexico,2020-01-04,3013
Mexico,2020-01-05,3587
Mexico,2020-01-06,3837
Mexico,2020-01-07,2935
Mexico,2020-01-08,2229
Mexico,2020-01-09,789
Mexico,2020-01-10,1229
Mexico,2020-01-11,3626
Mexico,2020-01-12,2898
Mexico,2020-01-13,3336
Mexico,2020-01-14,3402
Mexico,2020-01-15,4225
Mexico,2020-01-16,2469
Mexico,2020-01-17,2258
Mexico,2020-01-18,4091
Mexico,2020-01-19,4054
Mexico,2020-01-20,3951
Mexico,2020-01-21,2904
Mexico,2020-01-22,4391
Mexico,2020-01-23,6996
Mexico,2020-01-24,2044
Mexico,2020-01-25,4797
Mexico,2020-01-26,3381
Mexico,2020-01-27,3493
Mexico,2020-01-28,3401
Mexico,2020-01-29,3077
Mexico,2020-01-30,3334
Mexico,2020-01-31,2225
"Micronesia, Federated States of",2019-12-31,504
"Micronesia, Federated States of",2020-01-01,3580
"Micronesia, Federated States of",2020-01-02,2520
"Micronesia, Federated States of",2020-01-03,2172
"Micronesia, Federated States of",2020-01-04,2891
"Micronesia, Federated States of",2020-01-05,3899
"Micronesia, Federated States of",2020-01-06,3412
"Micronesia, Federated States of",2020-01-07,5558
"Micronesia, Federated States of",2020-01-08,2570
"Micronesia, Federated States of",2020-01-09,4924
"Micronesia, Federated States of",2020-01-10,1467
"Micronesia, Federated States of",2020-01-11,4519
"Micronesia, Federated States of",2020-01-12,4469
"Micronesia, Federated States of",2020-01-13,2558
"Micronesia, Federated States of",2020-01-14,4349
"Micronesia, Federated States of",2020-01-15,1971
"Micronesia, Federated States of",2020-01-16,2712
"Micronesia, Federated States of",2020-01-17,2381
"Micronesia, Federated States of",2020-01-18,3731
"Micronesia, Federated States of",2020-01-19,3311
"Micronesia, Federated States of",2020-01-20,3180
"Micronesia, Federated States of",2020-01-21,3762
"Micronesia, Federated States of",2020-01-22,3852
"Micronesia, Federated States of",2020-01-23,2057
"Micronesia, Federated States of",2020-01-24,2526
"Micronesia, Federated States of",2020-01-25,3899
"Micronesia, Federated States of",2020-01-26,2181
"Micronesia, Federated States of",2020-01-27,2941
"Micronesia, Federated States of",2020-01-28,1975
"Micronesia, Federated States of",2020-01-29,4075
"Micronesia, Federated States of",2020-01-30,1749
"Micronesia, Federated States of",2020-01-31,3950
"Moldova, Republic of",2019-12-31,519
"Moldova, Republic of",2020-01-01,2458
"Moldova, Republic of",2020-01-02,2585
"Moldova, Republic of",2020-01-03,3403
"Moldova, Republic of",2020-01-04,5228
"Moldova, Republic of",2020-01-05,1842
"Moldova, Republic of",2020-01-06,1993
"Moldova, Republic of",2020-01-07,2477
"Moldova, Republic of",2020-01-08,5195
"Moldova, Republic of",2020-01-09,4119
"Moldova, Republic of",2020-01-10,3056
"Moldova, Republic of",2020-01-11,3585
"Moldova, Republic of",2020-01-12,1246
"Moldova, Republic of",2020-01-13,1825
"Moldova, Republic of",2020-01-14,4675
"Moldova, Republic of",2020-01-15,6011
"Moldova, Republic of",2020-01-16,4462
"Moldova, Republic of",2020-01-17,4205
"Moldova, Republic of",2020-01-18,2374
"Moldova, Republic of",2020-01-19,3555
"Moldova, Republic of",2020-01-20,4656
"Moldova, Republic of",2020-01-21,2552
"Moldova, Republic of",2020-01-22,3485
"Moldova, Republic of",2020-01-23,3205
"Moldova, Republic of",2020-01-24,3026
"Moldova, Republic of",2020-01-25,3230
"Moldova, Republic of",2020-01-26,2481
"Moldova, Republic of",2020-01-27,4724
"Moldova, Republic of",2020-01-28,4604
"Moldova, Republic of",2020-01-29,3501
"Moldova, Republic of",2020-01-30,3235
"Moldova, Republic of",2020-01-31,1131
Monaco,2019-12-31,533
Monaco,2020-01-01,4167
Monaco,2020-01-02,2874
Monaco,2020-01-03,4454
Monaco,2020-01-04,6026
Monaco,2020-01-05,3443
Monaco,2020-01-06,2177
Monaco,2020-01-07,3832
Monaco,2020-01-08,1763
Monaco,2020-01-09,3455
Monaco,2020-01-10,4923
Monaco,2020-01-11,2886
Monaco,2020-01-12,3390
Monaco,2020-01-13,5444
Monaco,2020-01-14,3998
Monaco,2020-01-15,1790
Monaco,2020-01-16,2950
Monaco,2020-01-17,2391
Monaco,2020-01-18,2682
Monaco,2020-01-19,2617
Monaco,2020-01-20,3735
Monaco,2020-01-21,1349
Monaco,2020-01-22,4945
Monaco,2020-01-23,3152
Monaco,2020-01-24,3935
Monaco,2020-01-25,1973
Monaco,2020-01-26,2590
Monaco,2020-01-27,3217
Monaco,2020-01-28,2777
Monaco,2020-01-29,5665
Monaco,2020-01-30,4101
Monaco,2020-01-31,1941
Mongolia,2019-12-31,1661
Mongolia,2020-01-01,5695
Mongolia,2020-01-02,2915
Mongolia,2020-01-03,5492
Mongolia,2020-01-04,1353
Mongolia,2020-01-05,2517
Mongolia,2020-01-06,2173
Mongolia,2020-01-07,2889
Mongolia,2020-01-08,2717
Mongolia,2020-01-09,2310
Mongolia,2020-01-10,3711
Mongolia,2020-01-11,4600
Mongolia,2020-01-12,3097
Mongolia,2020-01-13,5678
Mongolia,2020-01-14,3125
Mongolia,2020-01-15,2380
Mongolia,2020-01-16,1661
Mongolia,2020-01-17,4024
Mongolia,2020-01-18,1625
Mongolia,2020-01-19,3248
Mongolia,2020-01-20,2631
Mongolia,2020-01-21,3024
Mongolia,2020-01-22,1843
Mongolia,2020-01-23,2757
Mongolia,2020-01-24,4181
Mongolia,2020-01-25,2870
Mongolia,2020-01-26,2054
Mongolia,2020-01-27,2652
Mongolia,2020-01-28,2522
Mongolia,2020-01-29,2610
Mongolia,2020-01-30,3989
Mongolia,2020-01-31,1454
Montserrat,2019-12-31,662
Montserrat,2020-01-01,2158
Montserrat,2020-01-02,2510
Montserrat,2020-01-03,4849
Montserrat,2020-01-04,4646
Montserrat,2020-01-05,2555
Montserrat,2020-01-06,1944
Montserrat,2020-01-07,3601
Montserrat,2020-01-08,2306
Montserrat,2020-01-09,2225
Montserrat,2020-01-10,3676
Montserrat,2020-01-11,3217
Montserrat,2020-01-12,1276
Montserrat,2020-01-13,3583
Montserrat,2020-01-14,2650
Montserrat,2020-01-15,1319
Montserrat,2020-01-16,2677
Montserrat,2020-01-17,3801
Montserrat,2020-01-18,2786
Montserrat,2020-01-19,5185
Montserrat,2020-01-20,2802
Montserrat,2020-01-21,4520
Montserrat,2020-01-22,3263
Montserrat,2020-01-23,2068
Montserrat,2020-01-24,2770
Montserrat,2020-01-25,3760
Montserrat,2020-01-26,2122
Montserrat,2020-01-27,4567
Montserrat,2020-01-28,1778
Montserrat,2020-01-29,4682
Montserrat,2020-01-30,3325
Montserrat,2020-01-31,3550
Morocco,2019-12-31,1858
Morocco,2020-01-01,3219
Morocco,2020-01-02,2406
Morocco,2020-01-03,2656
Morocco,2020-01-04,4608
Morocco,2020-01-05,2138
Morocco,2020-01-06,3203
Morocco,2020-01-07,2899
Morocco,2020-01-08,3744
Morocco,2020-01-09,2877
Morocco,2020-01-10,3563
Morocco,2020-01-11,2315
Morocco,2020-01-12,3986
Morocco,2020-01-13,1631
Morocco,2020-01-14,5356
Morocco,2020-01-15,3312
Morocco,2020-01-16,3384
Morocco,2020-01-17,2666
Morocco,2020-01-18,2575
Morocco,2020-01-19,1721
Morocco,2020-01-20,2946
Morocco,2020-01-21,2101
Morocco,2020-01-22,3893
Morocco,2020-01-23,5479
Morocco,2020-01-24,3621
Morocco,2020-01-25,4957
Morocco,2020-01-26,4047
Morocco,2020-01-27,5081
Morocco,2020-01-28,4590
Morocco,2020-01-29,4361
Morocco,2020-01-30,2928
Morocco,2020-01-31,2430
Mozambique,2019-12-31,921
Mozambique,2020-01-01,5603
Mozambique,2020-01-02,3429
Mozambique,2020-01-03,2010
Mozambique,2020-01-04,1845
Mozambique,2020-01-05,1115
Mozambique,2020-01-06,2873
Mozambique,2020-01-07,5960
Mozambique,2020-01-08,3733
Mozambique,2020-01-09,1220
Mozambique,2020-01-10,2986
Mozambique,2020-01-11,1978
Mozambique,2020-01-12,4294
Mozambique,2020-01-13,3414
Mozambique,2020-01-14,4840
Mozambique,2020-01-15,3820
Mozambique,2020-01-16,2618
Mozambique,2020-01-17,3518
Mozambique,2020-01-18,3163
Mozambique,2020-01-19,2383
Mozambique,2020-01-20,3006
Mozambique,2020-01-21,3083
Mozambique,2020-01-22,3599
Mozambique,2020-01-23,5607
Mozambique,2020-01-24,1898
Mozambique,2020-01-25,1819
Mozambique,2020-01-26,3117
Mozambique,2020-01-27,3328
Mozambique,2020-01-28,2684
Mozambique,2020-01-29,2426
Mozambique,2020-01-30,5118
Mozambique,2020-01-31,1626
Myanmar,2019-12-31,1018
Myanmar,2020-01-01,3652
Myanmar,2020-01-02,4663
Myanmar,2020-01-03,4059
Myanmar,2020-01-04,3566
Myanmar,2020-01-05,3779
Myanmar,2020-01-06,4152
Myanmar,2020-01-07,1911
Myanmar,2020-01-08,4479
Myanmar,2020-01-09,2690
Myanmar,2020-01-10,1665
Myanmar,2020-01-11,4310
Myanmar,2020-01-12,3103
Myanmar,2020-01-13,2677
Myanmar,2020-01-14,2894
Myanmar,2020-01-15,2934
Myanmar,2020-01-16,4460
Myanmar,2020-01-17,5605
Myanmar,2020-01-18,4815
Myanmar,2020-01-19,4554
Myanmar,2020-01-20,3337
Myanmar,2020-01-21,2575
Myanmar,2020-01-22,3731
Myanmar,2020-01-23,2896
Myanmar,2020-01-24,2488
Myanmar,2020-01-25,2995
Myanmar,2020-01-26,3871
Myanmar,2020-01-27,3347
Myanmar,2020-01-28,3965
Myanmar,2020-01-29,3686
Myanmar,2020-01-30,1706
Myanmar,2020-01-31,1285
Namibia,2019-12-31,452
Namibia,2020-01-01,4226
Namibia,2020-01-02,2360
Namibia,2020-01-03,2347
Namibia,2020-01-04,2196
Namibia,2020-01-05,2211
Namibia,2020-01-06,3897
Namibia,2020-01-07,3743
Namibia,2020-01-08,3667
Namibia,2020-01-09,3410
Namibia,2020-01-10,4216
Namibia,2020-01-11,4041
Namibia,2020-01-12,5470
Namibia,2020-01-13,5004
Namibia,2020-01-14,3974
Namibia,2020-01-15,4110
Namibia,2020-01-16,3395
Namibia,2020-01-17,3355
Namibia,2020-01-18,3518
Namibia,2020-01-19,2180
Namibia,2020-01-20,4493
Namibia,2020-01-21,4091
Namibia,2020-01-22,4241
Namibia,2020-01-23,5987
Namibia,2020-01-24,4349
Namibia,2020-01-25,2836
Namibia,2020-01-26,2831
Namibia,2020-01-27,2418
Namibia,2020-01-28,2471
Namibia,2020-01-29,2222
Namibia,2020-01-30,3871
Namibia,2020-01-31,1781
Nauru,2019-12-31,55
Nauru,2020-01-01,2911
Nauru,2020-01-02,3778
Nauru,2020-01-03,2711
Nauru,2020-01-04,2136
Nauru,2020-01-05,3273
Nauru,2020-01-06,3234
Nauru,2020-01-07,3569
Nauru,2020-01-08,3639
Nauru,2020-01-09,3702
Nauru,2020-01-10,3283
Nauru,2020-01-11,2448
Nauru,2020-01-12,3649
Nauru,2020-01-13,2252
Nauru,2020-01-14,2378
Nauru,2020-01-15,4134
Nauru,2020-01-16,2032
Nauru,2020-01-17,3793
Nauru,2020-01-18,3855
Nauru,2020-01-19,5134
Nauru,2020-01-20,4933
Nauru,2020-01-21,5281
Nauru,2020-01-22,6435
Nauru,2020-01-23,2168
Nauru,2020-01-24,4622
Nauru,2020-01-25,3799
Nauru,2020-01-26,4487
Nauru,2020-01-27,3196
Nauru,2020-01-28,3489
Nauru,2020-01-29,3691
Nauru,2020-01-30,4071
Nauru,2020-01-31,2499
Nepal,2019-12-31,709
Nepal,2020-01-01,3137
Nepal,2020-01-02,4091
Nepal,2020-01-03,2805
Nepal,2020-01-04,3922
Nepal,2020-01-05,4274
Nepal,2020-01-06,3806
Nepal,2020-01-07,4424
Nepal,2020-01-08,3462
Nepal,2020-01-09,2177
Nepal,2020-01-10,5425
Nepal,2020-01-11,2814
Nepal,2020-01-12,1902
Nepal,2020-01-13,3407
Nepal,2020-01-14,2239
Nepal,2020-01-15,4935
Nepal,2020-01-16,3334
Nepal,2020-01-17,3188
Nepal,2020-01-18,4706
Nepal,2020-01-19,4046
Nepal,2020-01-20,2397
Nepal,2020-01-21,3147
Nepal,2020-01-22,3050
Nepal,2020-01-23,2688
Nepal,2020-01-24,3101
Nepal,2020-01-25,3728
Nepal,2020-01-26,3500
Nepal,2020-01-27,2782
Nepal,2020-01-28,3663
Nepal,2020-01-29,1912
Nepal,2020-01-30,2517
Nepal,2020-01-31,2509
Netherlands,2019-12-31,203
Netherlands,2020-01-01,3245
Netherlands,2020-01-02,2540
Netherlands,2020-01-03,1501
Netherlands,2020-01-04,2960
Netherlands,2020-01-05,3404
Netherlands,2020-01-06,1025
Netherlands,2020-01-07,4006
Netherlands,2020-01-08,4630
Netherlands,2020-01-09,2970
Netherlands,2020-01-10,4927
Netherlands,2020-01-11,3468
Netherlands,2020-01-12,1962
Netherlands,2020-01-13,3913
Netherlands,2020-01-14,2083
Netherlands,2020-01-15,5461
Netherlands,2020-01-16,3692
Netherlands,2020-01-17,4505
Netherlands,2020-01-18,4189
Netherlands,2020-01-19,3402
Netherlands,2020-01-20,3160
Netherlands,2020-01-21,3168
Netherlands,2020-01-22,1710
Netherlands,2020-01-23,1608
Netherlands,2020-01-24,2764
Netherlands,2020-01-25,1649
Netherlands,2020-01-26,4021
Netherlands,2020-01-27,2179
Netherlands,2020-01-28,2965
Netherlands,2020-01-29,3803
Netherlands,2020-01-30,5763
Netherlands,2020-01-31,2478
Netherlands Antilles,2019-12-31,954
Netherlands Antilles,2020-01-01,3033
Netherlands Antilles,2020-01-02,4935
Netherlands Antilles,2020-01-03,2339
Netherlands Antilles,2020-01-04,3319
Netherlands Antilles,2020-01-05,2252
Netherlands Antilles,2020-01-06,2744
Netherlands Antilles,2020-01-07,4650
Netherlands Antilles,2020-01-08,2713
Netherlands Antilles,2020-01-09,4475
Netherlands Antilles,2020-01-10,4743
Netherlands Antilles,2020-01-11,3456
Netherlands Antilles,2020-01-12,1920
Netherlands Antilles,2020-01-13,2443
Netherlands Antilles,2020-01-14,3208
Netherlands Antilles,2020-01-15,2737
Netherlands Antilles,2020-01-16,4137
Netherlands Antilles,2020-01-17,4349
