Song,Date,Number of Plays
Indonesia,2020-01-21,119
Grenada,2020-01-24,340
Lebanon,2020-01-11,101
Falkland Islands (Malvinas),2020-01-06,497
Nepal,2020-01-01,482
Sri Lanka,2020-01-07,271
Timor-Leste,2020-01-01,166
Marshall Islands,2019-12-31,423
Aruba,2020-01-15,255
AndorrA,2020-01-30,266
Nepal,2020-01-13,155
Bouvet Island,2020-01-28,112
Benin,2020-01-14,499
Russian Federation,2020-01-31,300
Puerto Rico,2020-01-26,299
Philippines,2020-01-06,101
Timor-Leste,2020-01-24,280
Ghana,2020-01-09,35
Wallis and Futuna,2020-01-20,435
Reunion,2020-01-28,433
Uganda,2020-01-11,99
Samoa,2020-01-08,109
South Georgia and the South Sandwich Islands,2020-01-31,211
American Samoa,2020-01-11,144
Portugal,2020-01-24,493
Malta,2020-01-02,443
Wallis and Futuna,2020-01-28,203
Cuba,2020-01-11,400
Brunei Darussalam,2020-01-12,157
Anguilla,2020-01-22,37
United Arab Emirates,2020-01-26,460
South Georgia and the South Sandwich Islands,2020-01-06,470
Guinea,2020-01-27,73
Cambodia,2020-01-13,210
El Salvador,2020-01-10,319
France,2020-01-13,337
Heard Island and Mcdonald Islands,2020-01-26,280
Lithuania,2020-01-14,6
Afghanistan,2020-01-31,405
Slovakia,2020-01-28,255
French Guiana,2020-01-15,347
Dominican Republic,2020-01-05,379
Suriname,2020-01-18,60
Fiji,2020-01-01,404
United Arab Emirates,2020-01-30,376
Guadeloupe,2020-01-29,462
Eritrea,2020-01-12,142
Swaziland,2020-01-20,77
Christmas Island,2020-01-22,114
Solomon Islands,2020-01-22,149
"Micronesia, Federated States of",2020-01-11,251
Guatemala,2020-01-20,272
United States,2020-01-27,363
Tonga,2020-01-29,303
French Polynesia,2020-01-06,266
Senegal,2020-01-07,349
Kuwait,2020-01-24,372
Saudi Arabia,2020-01-18,63
Eritrea,2020-01-08,405
Egypt,2020-01-08,412
Marshall Islands,2020-01-17,210
Madagascar,2020-01-08,426
Guatemala,2020-01-30,414
"Korea, Republic of",2020-01-09,163
Christmas Island,2019-12-31,227
Iceland,2020-01-08,327
Ecuador,2020-01-13,90
Mauritania,2020-01-06,62
"Lao People""S Democratic Republic",2020-01-30,128
"Palestinian Territory, Occupied",2020-01-08,124
Botswana,2020-01-28,251
Haiti,2020-01-28,496
Guam,2020-01-27,68
Nauru,2020-01-19,20
China,2020-01-28,216
Myanmar,2020-01-15,1
Tuvalu,2020-01-29,338
French Guiana,2020-01-17,2
Philippines,2020-01-21,399
Nicaragua,2020-01-20,155
Kazakhstan,2020-01-15,301
Bosnia and Herzegovina,2020-01-14,418
Slovenia,2020-01-02,351
Chad,2020-01-15,292
Viet Nam,2020-01-25,139
Timor-Leste,2020-01-29,321
Tokelau,2020-01-11,292
Pakistan,2020-01-15,245
Tonga,2020-01-24,281
Tajikistan,2020-01-24,459
United Kingdom,2020-01-28,322
Bahrain,2020-01-01,385
Monaco,2020-01-04,297
Netherlands Antilles,2020-01-27,295
Lesotho,2020-01-03,112
French Polynesia,2020-01-06,114
Belarus,2020-01-11,233
Albania,2020-01-18,73
Serbia and Montenegro,2020-01-27,135
Equatorial Guinea,2020-01-25,237
Romania,2020-01-13,167
Svalbard and Jan Mayen,2020-01-26,37
Senegal,2020-01-28,462
Tajikistan,2020-01-01,119
Central African Republic,2020-01-10,16
Uruguay,2020-01-05,44
Estonia,2020-01-16,50
Cyprus,2020-01-20,144
Austria,2020-01-02,218
Heard Island and Mcdonald Islands,2020-01-10,91
Estonia,2020-01-22,436
Ghana,2020-01-02,270
Poland,2020-01-27,500
Saint Helena,2020-01-05,297
Seychelles,2020-01-29,73
Vanuatu,2020-01-14,294
Antarctica,2020-01-03,35
Northern Mariana Islands,2020-01-01,15
Kuwait,2020-01-30,21
Portugal,2020-01-04,120
Jersey,2020-01-23,330
Guatemala,2020-01-09,419
Iraq,2020-01-28,17
Mozambique,2019-12-31,485
Cocos (Keeling) Islands,2020-01-03,429
Saint Kitts and Nevis,2020-01-30,304
Thailand,2020-01-16,323
Christmas Island,2020-01-04,327
Costa Rica,2020-01-15,372
Kazakhstan,2020-01-01,281
Montserrat,2020-01-01,289
Canada,2020-01-10,98
Jordan,2020-01-24,7
Ecuador,2020-01-30,310
Mauritania,2020-01-18,481
Grenada,2020-01-29,241
French Polynesia,2020-01-13,201
China,2020-01-22,67
Kuwait,2020-01-27,256
Algeria,2020-01-02,447
India,2020-01-06,455
Japan,2020-01-26,142
Kenya,2020-01-23,238
Latvia,2020-01-23,183
Angola,2020-01-28,272
Romania,2020-01-18,232
Sao Tome and Principe,2020-01-16,300
Kyrgyzstan,2020-01-01,72
Estonia,2020-01-02,286
Djibouti,2020-01-29,139
Anguilla,2020-01-09,29
Niue,2020-01-21,114
Tokelau,2020-01-11,298
Myanmar,2020-01-18,48
Lithuania,2020-01-22,335
Algeria,2020-01-25,298
Bosnia and Herzegovina,2020-01-06,445
Dominican Republic,2020-01-08,158
Turkey,2020-01-06,436
Czech Republic,2020-01-17,304
Finland,2020-01-08,266
Kuwait,2020-01-10,317
Hong Kong,2020-01-01,469
Åland Islands,2020-01-11,7
AndorrA,2020-01-27,243
Libyan Arab Jamahiriya,2020-01-28,77
Croatia,2020-01-26,301
New Zealand,2020-01-23,496
India,2020-01-11,62
"Micronesia, Federated States of",2020-01-27,167
Pitcairn,2020-01-23,304
United States Minor Outlying Islands,2020-01-23,435
El Salvador,2020-01-15,83
Brunei Darussalam,2020-01-19,313
Netherlands Antilles,2020-01-12,91
Pakistan,2020-01-04,61
Ecuador,2020-01-01,456
Bangladesh,2020-01-26,273
Fiji,2020-01-05,333
Cyprus,2020-01-14,65
Bosnia and Herzegovina,2020-01-17,307
Saint Lucia,2020-01-13,15
Qatar,2020-01-22,259
Tajikistan,2020-01-05,288
Botswana,2020-01-27,408
Norway,2020-01-26,166
Fiji,2020-01-14,412
Tonga,2020-01-15,188
Kazakhstan,2020-01-21,13
Nigeria,2020-01-21,147
Gambia,2020-01-05,9
French Guiana,2020-01-05,367
Luxembourg,2020-01-30,26
Palau,2020-01-04,268
Faroe Islands,2020-01-28,117
Cape Verde,2020-01-05,383
South Africa,2020-01-01,316
Singapore,2020-01-19,106
Bhutan,2020-01-04,470
Thailand,2020-01-16,338
Libyan Arab Jamahiriya,2020-01-16,244
Cameroon,2020-01-05,95
Morocco,2020-01-23,123
Peru,2020-01-20,29
Austria,2020-01-17,248
Switzerland,2020-01-30,227
Bolivia,2020-01-07,34
French Guiana,2020-01-10,256
Maldives,2020-01-24,30
"Congo, The Democratic Republic of the",2020-01-15,223
Greenland,2020-01-10,439
Saudi Arabia,2020-01-20,51
Serbia and Montenegro,2020-01-23,79
Honduras,2020-01-29,122
Tokelau,2020-01-24,95
Norfolk Island,2020-01-09,150
Hong Kong,2020-01-13,379
Cook Islands,2020-01-22,210
Lebanon,2020-01-16,436
Netherlands,2020-01-13,302
Iraq,2020-01-29,50
United Arab Emirates,2020-01-07,199
"Virgin Islands, British",2020-01-31,413
Belize,2020-01-10,86
Chad,2020-01-16,40
Haiti,2020-01-06,74
Bulgaria,2020-01-31,413
Bouvet Island,2020-01-31,263
Netherlands,2020-01-06,278
United States,2020-01-20,257
Saint Kitts and Nevis,2020-01-04,123
"Micronesia, Federated States of",2020-01-11,259
Peru,2020-01-15,473
Paraguay,2020-01-26,136
Viet Nam,2020-01-14,51
Malawi,2020-01-15,312
Cocos (Keeling) Islands,2020-01-15,290
Bulgaria,2020-01-05,463
Japan,2020-01-12,386
Mayotte,2020-01-17,87
Libyan Arab Jamahiriya,2020-01-06,43
Mauritania,2020-01-15,24
Qatar,2020-01-13,80
Pakistan,2020-01-12,31
"Virgin Islands, U.S.",2020-01-17,132
Swaziland,2020-01-19,34
Italy,2020-01-23,350
Indonesia,2020-01-23,489
Philippines,2020-01-09,382
Guatemala,2020-01-25,447
Guinea-Bissau,2020-01-28,160
"Korea, Democratic People""S Republic of",2020-01-22,93
Papua New Guinea,2020-01-18,356
Spain,2020-01-09,403
Liechtenstein,2020-01-03,200
"Cote D""Ivoire",2020-01-17,400
South Georgia and the South Sandwich Islands,2020-01-27,18
Tajikistan,2020-01-31,248
Swaziland,2020-01-20,110
Heard Island and Mcdonald Islands,2020-01-13,390
Brunei Darussalam,2020-01-14,404
Solomon Islands,2020-01-05,97
Burkina Faso,2020-01-03,307
Saint Pierre and Miquelon,2020-01-08,243
Iceland,2020-01-12,384
United Kingdom,2020-01-18,450
Ireland,2020-01-14,48
Comoros,2020-01-23,362
Hungary,2020-01-27,98
Bangladesh,2020-01-04,86
"Iran, Islamic Republic Of",2020-01-29,386
Belgium,2020-01-08,429
Denmark,2020-01-04,266
"Tanzania, United Republic of",2020-01-06,7
Cameroon,2020-01-03,13
Ukraine,2020-01-09,392
Bermuda,2020-01-01,12
Germany,2020-01-24,253
Grenada,2020-01-17,34
Dominica,2020-01-10,278
Saudi Arabia,2020-01-02,469
Bangladesh,2020-01-29,112
Saint Vincent and the Grenadines,2020-01-08,213
Jamaica,2020-01-24,140
Brunei Darussalam,2020-01-31,426
Guatemala,2020-01-07,454
Greenland,2020-01-20,497
Mauritania,2020-01-26,25
Estonia,2020-01-31,409
Tokelau,2020-01-21,220
British Indian Ocean Territory,2020-01-14,346
Greenland,2020-01-08,203
San Marino,2020-01-22,326
"Tanzania, United Republic of",2020-01-29,53
Niger,2020-01-19,164
Mayotte,2020-01-17,420
New Zealand,2020-01-21,312
Sao Tome and Principe,2020-01-28,77
Cook Islands,2020-01-11,470
Liechtenstein,2020-01-10,46
Guinea,2020-01-21,246
Slovenia,2020-01-07,391
Mongolia,2020-01-10,178
Tajikistan,2020-01-26,278
Comoros,2020-01-15,182
Gambia,2020-01-15,313
Cocos (Keeling) Islands,2020-01-26,267
Nepal,2020-01-15,406
Cape Verde,2020-01-22,116
Fiji,2020-01-04,165
Cocos (Keeling) Islands,2020-01-13,485
Guyana,2020-01-24,408
Lithuania,2020-01-25,184
Belarus,2020-01-22,148
Gibraltar,2020-01-17,58
Kyrgyzstan,2020-01-17,106
Chile,2020-01-20,356
Barbados,2020-01-04,327
Comoros,2020-01-23,350
Solomon Islands,2020-01-22,346
AndorrA,2020-01-16,180
"Palestinian Territory, Occupied",2020-01-13,234
Sudan,2020-01-06,252
Wallis and Futuna,2020-01-28,23
Haiti,2020-01-02,236
Morocco,2020-01-15,46
Netherlands Antilles,2020-01-21,38
"Virgin Islands, British",2020-01-26,169
Northern Mariana Islands,2020-01-20,173
Chad,2020-01-08,192
Gibraltar,2020-01-16,472
"Taiwan, Province of China",2020-01-29,459
Botswana,2020-01-14,44
"Virgin Islands, U.S.",2020-01-10,371
"Taiwan, Province of China",2020-01-02,357
Austria,2020-01-15,218
Cayman Islands,2020-01-03,416
Argentina,2020-01-30,443
Honduras,2020-01-01,453
Niger,2020-01-22,93
Zambia,2020-01-13,479
Niger,2020-01-13,43
British Indian Ocean Territory,2020-01-04,428
Canada,2020-01-19,490
Azerbaijan,2020-01-23,33
Cayman Islands,2020-01-23,247
French Southern Territories,2020-01-02,22
Estonia,2020-01-10,367
El Salvador,2020-01-05,305
Guatemala,2020-01-21,280
Greece,2020-01-06,415
Equatorial Guinea,2020-01-20,346
Guadeloupe,2020-01-09,202
Belize,2020-01-01,491
Kyrgyzstan,2020-01-25,439
Burundi,2020-01-31,401
Syrian Arab Republic,2020-01-16,269
Cocos (Keeling) Islands,2020-01-11,33
Montserrat,2020-01-23,145
India,2020-01-17,148
Luxembourg,2020-01-10,69
Liechtenstein,2020-01-15,176
Mauritania,2020-01-11,47
British Indian Ocean Territory,2020-01-14,424
Niue,2020-01-15,162
American Samoa,2020-01-26,236
Equatorial Guinea,2020-01-15,189
Ethiopia,2020-01-03,115
South Africa,2020-01-31,339
Belgium,2020-01-26,200
Gabon,2020-01-20,364
Eritrea,2020-01-05,308
Uruguay,2020-01-27,216
Pakistan,2020-01-28,463
Macao,2020-01-05,483
Estonia,2020-01-25,52
Thailand,2020-01-29,353
"Congo, The Democratic Republic of the",2020-01-05,91
Cocos (Keeling) Islands,2020-01-31,144
Saint Vincent and the Grenadines,2020-01-09,175
Sierra Leone,2020-01-11,467
Tunisia,2020-01-24,471
South Georgia and the South Sandwich Islands,2020-01-01,443
"Moldova, Republic of",2020-01-06,32
Mauritius,2020-01-19,403
United States,2020-01-21,209
Somalia,2020-01-10,198
Niue,2020-01-01,31
"Taiwan, Province of China",2020-01-10,236
Lebanon,2020-01-30,139
Venezuela,2020-01-01,131
Pakistan,2020-01-29,73
Guinea,2020-01-20,36
Suriname,2020-01-11,429
"Iran, Islamic Republic Of",2020-01-28,410
Nigeria,2020-01-20,362
Liechtenstein,2020-01-27,156
Qatar,2020-01-13,370
United States Minor Outlying Islands,2020-01-05,142
Dominican Republic,2020-01-17,482
Equatorial Guinea,2020-01-04,450
Ukraine,2020-01-25,475
Western Sahara,2020-01-18,257
Namibia,2020-01-27,21
Slovenia,2020-01-15,111
Maldives,2020-01-18,315
Reunion,2020-01-04,338
Jordan,2020-01-10,440
Japan,2020-01-04,151
Israel,2020-01-10,350
Niue,2020-01-09,487
Trinidad and Tobago,2020-01-07,73
Ethiopia,2020-01-28,322
Mauritius,2020-01-12,197
India,2020-01-14,435
Reunion,2020-01-03,195
Gibraltar,2020-01-20,120
Iraq,2020-01-11,414
Central African Republic,2020-01-16,411
Iraq,2020-01-21,140
"Cote D""Ivoire",2020-01-22,479
Iraq,2020-01-16,40
El Salvador,2020-01-19,455
Kiribati,2020-01-06,322
Reunion,2020-01-20,242
Bolivia,2020-01-09,35
Finland,2020-01-14,340
Guinea,2020-01-22,480
Brazil,2020-01-31,303
"Cote D""Ivoire",2020-01-05,115
Ethiopia,2020-01-13,467
Central African Republic,2020-01-19,250
Zambia,2020-01-23,367
"Moldova, Republic of",2020-01-15,280
Kyrgyzstan,2020-01-31,300
Israel,2020-01-17,151
Guadeloupe,2020-01-22,413
Bermuda,2020-01-25,180
Reunion,2020-01-01,263
Falkland Islands (Malvinas),2020-01-11,475
Seychelles,2020-01-17,314
Armenia,2020-01-08,297
American Samoa,2020-01-08,294
Italy,2020-01-05,307
Montserrat,2020-01-19,229
Benin,2020-01-29,421
Monaco,2020-01-12,150
El Salvador,2020-01-13,77
Iceland,2020-01-09,216
Cuba,2020-01-23,429
Cocos (Keeling) Islands,2020-01-15,153
Jamaica,2020-01-01,79
Mauritania,2020-01-30,454
Brunei Darussalam,2020-01-24,379
Congo,2020-01-24,232
Kuwait,2020-01-05,86
Nepal,2020-01-14,43
Sweden,2020-01-29,363
Paraguay,2020-01-08,149
United Kingdom,2020-01-19,46
Switzerland,2020-01-26,493
Bolivia,2020-01-04,325
Turks and Caicos Islands,2020-01-22,456
Denmark,2020-01-31,92
Indonesia,2020-01-05,268
Nicaragua,2020-01-09,109
Niger,2020-01-14,372
Costa Rica,2020-01-06,375
Cook Islands,2020-01-12,154
Northern Mariana Islands,2020-01-19,352
Northern Mariana Islands,2020-01-24,383
Mayotte,2020-01-11,6
China,2020-01-29,434
Azerbaijan,2020-01-22,123
Gambia,2020-01-09,372
Finland,2020-01-20,7
Egypt,2020-01-18,236
Guatemala,2020-01-15,10
Oman,2020-01-28,283
Czech Republic,2020-01-31,86
Guyana,2020-01-24,368
Uzbekistan,2020-01-12,231
Saint Kitts and Nevis,2020-01-14,497
Switzerland,2020-01-25,429
Paraguay,2020-01-30,282
Argentina,2020-01-07,39
Poland,2020-01-29,182
Chile,2020-01-26,117
Czech Republic,2020-01-20,276
Nigeria,2020-01-11,217
Nigeria,2020-01-26,360
Nicaragua,2020-01-21,200
Northern Mariana Islands,2020-01-13,159
Bhutan,2020-01-04,152
Colombia,2020-01-24,27
Sweden,2020-01-16,119
Syrian Arab Republic,2020-01-15,329
French Guiana,2020-01-07,112
Kuwait,2020-01-20,122
Nepal,2020-01-31,318
Armenia,2020-01-14,251
"Taiwan, Province of China",2020-01-01,248
Saint Helena,2020-01-05,259
Venezuela,2020-01-04,214
Cuba,2020-01-06,418
Guam,2020-01-21,254
Paraguay,2020-01-17,107
"Virgin Islands, British",2020-01-02,449
Suriname,2020-01-21,61
Togo,2020-01-24,365
Turks and Caicos Islands,2020-01-02,347
Samoa,2019-12-31,377
"Micronesia, Federated States of",2020-01-12,156
Netherlands,2020-01-15,481
Uruguay,2020-01-08,149
Dominica,2020-01-01,308
Dominica,2020-01-26,344
"Congo, The Democratic Republic of the",2020-01-26,200
Hong Kong,2020-01-14,45
Turks and Caicos Islands,2020-01-18,240
Togo,2020-01-29,473
Western Sahara,2020-01-20,367
San Marino,2020-01-29,345
Cameroon,2020-01-14,370
Northern Mariana Islands,2020-01-23,48
Guam,2020-01-12,350
Italy,2020-01-31,468
RWANDA,2020-01-26,257
British Indian Ocean Territory,2019-12-31,407
South Georgia and the South Sandwich Islands,2020-01-19,122
Nicaragua,2020-01-31,183
Central African Republic,2020-01-05,161
"Congo, The Democratic Republic of the",2020-01-21,58
Christmas Island,2020-01-06,357
Marshall Islands,2020-01-17,178
Bahrain,2020-01-08,265
Philippines,2020-01-10,81
Czech Republic,2020-01-23,490
Swaziland,2020-01-31,471
Lesotho,2020-01-18,60
Chile,2020-01-04,449
"Moldova, Republic of",2020-01-09,440
"Cote D""Ivoire",2020-01-31,168
China,2020-01-01,168
El Salvador,2020-01-10,188
Ireland,2020-01-15,43
"Korea, Democratic People""S Republic of",2020-01-24,264
Japan,2020-01-21,26
Egypt,2020-01-16,102
Croatia,2020-01-28,20
Nigeria,2020-01-25,12
Peru,2020-01-15,62
Anguilla,2020-01-02,229
Yemen,2020-01-11,311
Papua New Guinea,2020-01-07,333
Jersey,2020-01-27,58
Aruba,2020-01-31,460
Norfolk Island,2020-01-26,337
Uruguay,2020-01-20,485
Kenya,2020-01-15,466
Hong Kong,2020-01-20,107
Bangladesh,2020-01-11,164
Uganda,2020-01-23,140
Nicaragua,2020-01-10,425
American Samoa,2020-01-12,53
New Caledonia,2020-01-11,121
Azerbaijan,2020-01-04,405
"Moldova, Republic of",2020-01-26,61
India,2020-01-12,25
"Macedonia, The Former Yugoslav Republic of",2020-01-31,360
Nepal,2020-01-05,386
Kenya,2020-01-10,372
Suriname,2020-01-06,15
Mayotte,2020-01-17,276
Costa Rica,2020-01-27,47
Mauritius,2020-01-26,167
"Korea, Democratic People""S Republic of",2020-01-09,460
Cuba,2020-01-04,456
San Marino,2020-01-14,120
Egypt,2020-01-14,212
Singapore,2020-01-09,329
Guinea,2020-01-11,71
Austria,2020-01-06,280
French Southern Territories,2020-01-27,392
Greece,2020-01-31,488
Australia,2020-01-05,362
Montserrat,2020-01-15,231
Chad,2020-01-26,380
Argentina,2020-01-23,215
Guatemala,2020-01-27,468
Uzbekistan,2020-01-19,438
Peru,2020-01-13,48
Peru,2020-01-19,385
Christmas Island,2020-01-30,472
Saint Helena,2020-01-05,319
Colombia,2020-01-15,380
Romania,2020-01-17,113
Tuvalu,2020-01-06,126
Ireland,2020-01-19,147
Guinea-Bissau,2020-01-25,273
San Marino,2020-01-27,144
Lebanon,2020-01-24,333
Falkland Islands (Malvinas),2020-01-30,314
Palau,2020-01-30,276
Trinidad and Tobago,2020-01-05,17
Netherlands Antilles,2020-01-03,150
Malta,2020-01-20,79
Libyan Arab Jamahiriya,2020-01-29,327
Papua New Guinea,2020-01-20,152
Oman,2020-01-01,18
Burkina Faso,2020-01-03,225
American Samoa,2020-01-15,182
United Kingdom,2020-01-17,89
Brunei Darussalam,2020-01-20,372
Lithuania,2020-01-04,364
Falkland Islands (Malvinas),2020-01-24,203
Armenia,2020-01-18,294
"Tanzania, United Republic of",2020-01-23,238
"Micronesia, Federated States of",2020-01-08,191
French Southern Territories,2020-01-07,24
Gambia,2020-01-28,402
Zimbabwe,2020-01-11,311
Eritrea,2020-01-08,136
Sri Lanka,2020-01-05,247
Uruguay,2020-01-23,458
Guinea,2020-01-19,473
Malta,2020-01-05,407
Liberia,2020-01-17,241
Kenya,2020-01-06,225
Armenia,2020-01-10,391
Zimbabwe,2020-01-14,435
Slovakia,2020-01-20,38
Croatia,2020-01-21,196
Guinea,2020-01-16,161
Zimbabwe,2020-01-11,296
Indonesia,2020-01-02,318
Aruba,2020-01-01,183
American Samoa,2020-01-10,19
Papua New Guinea,2020-01-16,152
Samoa,2020-01-22,48
Chad,2020-01-06,30
New Zealand,2020-01-10,42
Saint Pierre and Miquelon,2020-01-26,491
Marshall Islands,2020-01-17,85
Singapore,2020-01-27,339
Botswana,2020-01-19,356
Italy,2020-01-30,310
Cameroon,2020-01-22,122
Monaco,2020-01-07,327
Kenya,2020-01-15,197
Australia,2020-01-13,9
Gambia,2020-01-01,34
Latvia,2020-01-11,436
Guam,2020-01-03,142
Slovakia,2020-01-21,411
Belarus,2020-01-15,31
Slovakia,2020-01-12,369
Saudi Arabia,2020-01-20,355
Ghana,2020-01-21,264
Seychelles,2020-01-03,83
Liberia,2020-01-10,171
Philippines,2020-01-07,341
Bermuda,2020-01-15,462
Djibouti,2020-01-27,220
Mexico,2020-01-15,285
Jordan,2020-01-10,81
"Lao People""S Democratic Republic",2020-01-30,244
Tokelau,2020-01-31,125
Åland Islands,2020-01-26,269
Albania,2020-01-28,454
Nicaragua,2020-01-28,191
Madagascar,2020-01-05,280
New Caledonia,2020-01-06,409
Reunion,2020-01-13,289
Kenya,2020-01-15,134
Cambodia,2020-01-08,396
Dominica,2020-01-28,253
Isle of Man,2020-01-20,7
United States Minor Outlying Islands,2020-01-17,234
Angola,2020-01-18,362
Malta,2020-01-08,334
Yemen,2020-01-07,377
Aruba,2020-01-10,210
El Salvador,2020-01-19,499
Mauritius,2020-01-31,484
Estonia,2020-01-23,163
Madagascar,2020-01-09,319
Antigua and Barbuda,2020-01-01,331
Malaysia,2020-01-04,83
Georgia,2020-01-05,431
Papua New Guinea,2020-01-05,250
Costa Rica,2020-01-06,438
Antarctica,2020-01-05,238
Niger,2020-01-05,480
New Zealand,2020-01-07,36
Kiribati,2020-01-14,411
Denmark,2020-01-17,263
Barbados,2020-01-14,176
Germany,2020-01-11,397
"Korea, Democratic People""S Republic of",2020-01-13,434
Guam,2020-01-03,310
Western Sahara,2020-01-20,327
Nigeria,2020-01-10,319
Kuwait,2020-01-26,191
Uganda,2020-01-27,143
Cuba,2020-01-21,72
Brunei Darussalam,2020-01-18,239
Anguilla,2020-01-07,230
Cambodia,2020-01-14,68
Cambodia,2020-01-12,250
Liechtenstein,2020-01-04,476
Northern Mariana Islands,2020-01-30,123
Gibraltar,2020-01-21,192
Hungary,2020-01-17,242
Ireland,2020-01-24,170
Argentina,2020-01-10,457
Japan,2020-01-02,130
Tuvalu,2020-01-12,251
Qatar,2020-01-11,310
Myanmar,2020-01-07,304
Anguilla,2020-01-28,280
"Palestinian Territory, Occupied",2020-01-21,291
Tajikistan,2020-01-30,337
Norway,2020-01-28,189
"Congo, The Democratic Republic of the",2020-01-13,94
Yemen,2020-01-08,280
Timor-Leste,2020-01-19,463
Nicaragua,2020-01-18,379
Pitcairn,2020-01-03,375
Malaysia,2020-01-21,141
Luxembourg,2020-01-30,230
Swaziland,2020-01-23,181
Cape Verde,2020-01-12,430
Northern Mariana Islands,2020-01-02,203
Netherlands Antilles,2020-01-09,182
Zambia,2020-01-08,6
French Polynesia,2020-01-05,487
Cocos (Keeling) Islands,2020-01-16,321
Holy See (Vatican City State),2020-01-21,316
Afghanistan,2020-01-03,469
Monaco,2020-01-12,4
Trinidad and Tobago,2020-01-29,486
Chad,2020-01-21,3
Libyan Arab Jamahiriya,2020-01-10,399
Ecuador,2020-01-16,161
Costa Rica,2020-01-06,173
Nigeria,2020-01-28,282
Egypt,2020-01-06,257
Namibia,2020-01-11,161
Gambia,2020-01-04,223
Faroe Islands,2020-01-11,339
Aruba,2020-01-14,133
New Zealand,2020-01-01,311
Monaco,2020-01-19,363
Tunisia,2020-01-04,121
Germany,2020-01-31,284
Jersey,2020-01-17,214
Malta,2020-01-21,163
Brazil,2020-01-07,373
Denmark,2020-01-30,108
Iraq,2020-01-08,201
Mauritius,2020-01-29,15
Canada,2020-01-04,278
Sudan,2020-01-14,375
Brazil,2020-01-06,59
Brunei Darussalam,2020-01-25,426
Finland,2020-01-05,37
"Taiwan, Province of China",2020-01-07,185
Somalia,2020-01-05,256
Colombia,2020-01-30,75
"Korea, Democratic People""S Republic of",2020-01-08,340
Bulgaria,2020-01-12,462
United Kingdom,2020-01-17,72
Denmark,2020-01-07,207
Somalia,2020-01-27,58
Nauru,2020-01-26,394
"Korea, Democratic People""S Republic of",2020-01-24,215
Afghanistan,2020-01-30,473
Singapore,2020-01-23,436
"Iran, Islamic Republic Of",2020-01-27,90
Argentina,2020-01-14,37
Montserrat,2020-01-01,383
Niger,2020-01-01,270
Senegal,2020-01-14,163
Palau,2020-01-27,440
Saint Kitts and Nevis,2020-01-19,401
Uganda,2020-01-29,258
Colombia,2020-01-21,297
Gambia,2020-01-15,495
Egypt,2020-01-04,76
Hungary,2020-01-05,137
Thailand,2020-01-09,278
Tuvalu,2020-01-02,308
Saint Pierre and Miquelon,2020-01-22,476
Egypt,2020-01-08,456
Marshall Islands,2020-01-15,402
Bermuda,2020-01-20,40
"Tanzania, United Republic of",2020-01-02,488
Burundi,2020-01-02,335
Antarctica,2020-01-25,149
Australia,2020-01-30,253
Austria,2020-01-26,232
Hong Kong,2020-01-04,424
Mongolia,2019-12-31,427
Seychelles,2020-01-01,323
Marshall Islands,2020-01-16,184
Swaziland,2020-01-16,219
RWANDA,2020-01-03,250
Qatar,2020-01-12,372
Japan,2020-01-01,49
Suriname,2020-01-15,279
"Tanzania, United Republic of",2020-01-20,341
Martinique,2020-01-02,327
Senegal,2020-01-23,269
Paraguay,2020-01-01,33
Russian Federation,2020-01-17,20
Czech Republic,2020-01-17,83
China,2020-01-16,217
Bulgaria,2020-01-30,143
Belgium,2020-01-22,92
Northern Mariana Islands,2020-01-16,227
Monaco,2020-01-12,27
Myanmar,2020-01-25,106
Austria,2020-01-12,479
Bangladesh,2020-01-02,483
Heard Island and Mcdonald Islands,2020-01-26,212
United Arab Emirates,2020-01-03,461
Albania,2020-01-22,114
Marshall Islands,2020-01-29,1
Albania,2020-01-26,117
Bhutan,2020-01-31,114
Uganda,2020-01-31,219
Malta,2020-01-24,479
Malawi,2020-01-28,191
French Southern Territories,2020-01-14,96
Åland Islands,2020-01-16,396
Tunisia,2020-01-22,17
"Iran, Islamic Republic Of",2020-01-22,49
Kenya,2020-01-09,452
Jersey,2020-01-21,214
Lesotho,2020-01-04,216
Lithuania,2020-01-31,207
Australia,2020-01-18,104
Monaco,2020-01-28,237
Cook Islands,2020-01-24,492
Ukraine,2020-01-30,138
Algeria,2020-01-12,130
Bolivia,2020-01-29,134
Liechtenstein,2020-01-23,170
Mayotte,2020-01-13,472
Kazakhstan,2019-12-31,474
Cuba,2020-01-20,243
Holy See (Vatican City State),2020-01-09,206
El Salvador,2020-01-12,158
Somalia,2020-01-02,8
El Salvador,2020-01-19,208
Cuba,2020-01-19,480
Bahrain,2019-12-31,26
Guam,2020-01-05,309
Sierra Leone,2019-12-31,248
Denmark,2020-01-11,115
Nigeria,2020-01-05,161
Niger,2020-01-20,223
Nauru,2020-01-18,347
Japan,2020-01-31,109
Colombia,2020-01-22,53
Jamaica,2020-01-11,103
Romania,2020-01-06,356
"Micronesia, Federated States of",2020-01-07,225
Sri Lanka,2020-01-12,264
Belgium,2020-01-29,483
Reunion,2020-01-10,193
Faroe Islands,2020-01-05,308
Cocos (Keeling) Islands,2020-01-10,381
Tokelau,2020-01-30,313
American Samoa,2020-01-27,324
Nicaragua,2020-01-19,74
Japan,2020-01-01,239
Guinea-Bissau,2020-01-23,358
Cameroon,2020-01-21,390
