Song,Date,Number of Plays
Libreville,2020-02-15,650
Seoul,2020-05-09,715
La Serena,2020-02-10,1398
Cleveland,2020-03-22,795
Punta Arenas,2020-05-14,389
Kiev,2020-05-22,679
Buffalo,2020-03-20,811
Francistown,2020-01-23,1549
Port Hedland,2020-03-05,126
Konya,2020-01-27,1024
Wonsan,2020-05-13,1411
Cork (city),2020-05-30,1152
Saint John,2020-05-12,1910
Taichung,2020-05-09,1792
Abuja,2020-01-20,1147
Faisalabad,2020-01-30,1594
Minsk,2020-02-26,937
Houston,2020-05-12,930
Chongjin,2020-03-09,1522
Ibiza,2020-02-29,1242
Zamboanga City,2020-05-30,523
Kota Bharu,2020-05-16,634
Brasília,2020-05-07,1542
Marseille,2020-04-05,944
Stockholm,2020-03-13,1886
Charlotte Amalie,2020-02-21,786
Busan,2020-04-06,628
Gibraltar,2020-01-13,1829
Macapá,2020-04-04,1316
George Town,2020-02-05,416
George Town,2020-02-28,1096
Dresden,2020-04-30,1386
Kigali,2020-05-25,780
Kobe,2020-03-17,438
Hanoi,2020-05-08,1503
Townsville,2020-01-17,1874
Edinburgh,2020-03-11,1274
Koror,2020-03-22,1688
Hangzhou,2020-03-05,930
Aberdeen,2020-05-08,1173
Atlanta,2020-04-10,573
Medan,2020-04-25,1744
Geneva,2020-05-18,1507
Pelotas,2020-05-23,421
Wichita,2020-03-01,1231
Yekaterinburg,2020-01-01,1569
Maceió,2020-01-13,171
Salt Lake City,2020-02-19,432
Cebu City,2020-01-02,1942
Ouagadougou,2020-04-24,1368
Jaipur,2020-02-27,262
St. John's,2020-02-15,322
Accra,2020-01-08,487
Port Moresby,2020-02-03,1170
Riyadh,2020-05-13,1951
Bahía Blanca,2020-05-02,248
Nanjing,2020-04-30,1581
Davao City,2020-05-19,614
Warsaw,2020-01-27,1633
Luxembourg (city),2020-03-29,1823
Greenwich,2020-01-07,1926
Phoenix,2020-04-05,935
Douglas,2020-03-07,1900
Rio Branco,2020-03-05,1891
San Juan,2020-05-28,614
Saint-Pierre,2020-03-13,1305
Doha,2020-02-20,1408
Iquitos,2020-01-31,1939
Port Vila,2020-03-16,1784
Kinshasa,2020-03-07,443
Ibadan,2020-05-25,1363
Honolulu,2020-03-07,922
Bahía Blanca,2020-01-06,731
Turin,2020-04-30,1537
Yaren District,2020-05-02,1409
Hanoi,2020-05-18,651
Shigatse,2020-05-04,1465
Milan,2020-01-20,541
Alor Star,2020-01-23,805
Gaza,2020-05-07,1985
Abuja,2020-05-10,604
Naypyidaw,2020-04-25,198
Yerevan,2020-02-11,782
Budapest,2020-05-07,1900
Buffalo,2020-02-14,1624
Shanghai,2020-03-25,1379
Monrovia,2020-02-02,1584
Jersey City,2020-05-24,120
Guayaquil,2020-01-08,775
Andorra la Vella,2020-01-06,1317
Darwin,2020-03-10,1389
Honiara,2020-02-11,727
Brasília,2020-05-27,1256
Kraków,2020-02-05,633
Chihuahua,2020-03-10,396
Kolkata,2020-01-21,1195
Luxor,2020-03-29,1475
Málaga,2020-03-09,899
Kingstown,2020-02-06,620
Chaguanas,2020-04-30,1545
Semarang,2020-02-12,720
Brasília,2020-02-17,967
Campinas,2020-04-06,1965
Córdoba,2020-03-29,1252
Enugu,2020-04-30,1253
Linz,2020-04-13,1189
Vancouver,2020-01-31,783
Antananarivo,2020-04-03,1678
Virginia Beach,2020-04-14,1064
Phoenix,2020-04-04,1446
Sabha,2020-04-16,1796
Berlin,2020-01-12,1768
Barcelona,2020-05-30,902
Road Town,2020-04-26,1719
Pyongyang,2020-01-09,418
Espoo,2020-01-22,165
Vienna,2020-01-14,1947
Mogadishu,2020-04-08,257
Honolulu,2020-01-12,177
Tegucigalpa,2020-04-23,1787
Adak,2020-02-12,1323
Glasgow,2020-05-20,706
Saint John,2020-04-16,1458
Budapest,2020-05-14,1721
Boston,2020-03-16,147
Brussels,2020-05-02,1712
Amritsar,2020-03-12,1920
Seville,2020-02-22,785
Maracaibo,2020-05-01,1121
Salt Lake City,2020-02-20,854
Bridgetown,2020-03-03,1387
Santiago de Cuba,2020-04-03,1800
San Salvador,2020-02-19,1542
Virginia Beach,2020-02-05,588
Labasa,2020-03-21,977
Cali,2020-02-09,1625
Phuket (city),2020-02-10,551
Chuí,2020-03-12,271
Bucharest,2020-03-21,1941
Budapest,2020-05-13,162
Thiès,2020-05-14,293
Honolulu,2020-05-18,1607
Muscat,2020-01-04,116
Kiev,2020-02-02,636
Iloilo City,2020-03-20,431
Pittsburgh,2020-02-12,1335
Seoul,2020-03-28,919
Barcelona,2020-04-18,1779
Concepción,2020-01-04,1214
Yamoussoukro,2020-05-28,1658
Mashhad,2020-04-19,1153
Istanbul,2020-02-24,1306
São José dos Campos,2020-03-11,1167
Bangalore,2020-03-13,1150
Weno,2020-04-21,1807
Wollongong,2020-02-02,638
Paramaribo,2020-02-12,1263
Abuja,2020-01-04,599
Valparaíso,2020-04-22,1548
Manila,2020-03-16,1458
Douglas,2020-02-18,1177
Timbuktu,2020-05-15,104
Longyearbyen,2020-01-28,1455
Charlotte Amalie,2020-03-04,215
Taichung,2020-02-08,1855
Cali,2020-03-02,1600
Kota Kinabalu,2020-04-12,565
Handan,2020-04-25,1146
Palikir,2020-03-25,681
Lima,2020-05-24,1344
Hanover,2020-04-10,246
Hong Kong,2020-01-30,550
Lubumbashi,2020-04-14,693
Tamale,2020-05-31,652
Washington,2020-05-03,672
Buenos Aires,2020-03-06,1354
Bogotá,2020-03-25,276
Minsk,2020-05-03,225
Fairbanks,2020-01-11,1324
Montevideo,2020-05-23,1783
Valletta,2020-04-03,1419
Nouakchott,2020-02-08,517
Cartagena,2020-05-17,347
Providence,2020-03-11,519
City of San Marino,2020-02-27,1412
Concepción,2020-05-20,395
Kiev,2020-02-18,1985
Athens,2020-01-12,1764
Daegu,2020-03-01,1045
Thiès,2020-05-06,1787
Manchester,2020-03-09,1423
Libreville,2020-05-17,1541
Bahía Blanca,2020-04-24,628
Pattaya,2020-03-17,1437
Bujumbura,2020-05-31,111
Regina,2020-05-22,1010
Palembang,2020-05-04,724
Saint Petersburg,2020-04-07,1921
Kuching,2020-04-20,349
Avarua,2020-04-14,1956
Pune,2020-05-07,1556
Lucknow,2020-04-30,1133
Cusco,2020-02-06,607
Austin,2020-03-07,1524
Jaipur,2020-05-05,1390
Osaka,2020-03-23,1963
Rio Branco,2020-05-30,1779
Jersey City,2020-04-11,1581
Hanoi,2020-03-27,1842
Stepanakert,2020-04-08,102
Nantes,2020-05-26,1220
Atlanta,2020-01-07,1162
Bratsk,2020-02-07,1366
Louisville,2020-01-21,640
Jersey City,2020-04-12,1347
Iquitos,2020-05-11,1367
Patna,2020-05-23,1559
Invercargill,2020-01-16,1283
Surat,2020-05-02,519
Monaco,2020-01-11,1187
Mexico City,2020-03-31,1631
Dongguan,2020-01-24,458
St. John's,2020-04-06,1694
Tripoli,2020-03-05,1960
Cusco,2020-05-15,1052
Cotonou,2020-02-27,462
Pretoria,2020-04-10,960
Bridgetown,2020-02-05,934
Tel Aviv,2020-05-04,768
Phuket (city),2020-01-29,982
New York City,2020-02-15,1129
Bangalore,2020-03-29,1384
Chişinău,2020-01-01,418
Nantes,2020-05-18,1486
Petropavlovsk-Kamchatsky,2020-04-19,1574
Dodoma,2020-04-20,339
Tiraspol,2020-05-16,1440
Hyderabad,2020-03-24,1947
New York City,2020-01-08,963
Chaguanas,2020-03-24,349
Udon Thani,2020-05-24,1766
Wichita,2020-04-13,1056
Hiroshima,2020-02-11,1225
Jeddah,2020-05-21,200
Manaus,2020-05-10,557
Espoo,2020-04-15,1061
Amman,2020-02-03,112
Singapore,2020-04-03,1594
Fredericton,2020-01-13,1927
Luanda,2020-04-05,337
Wichita,2020-01-01,303
São Tomé,2020-03-18,1490
Barranquilla,2020-03-04,1035
San José,2020-01-20,1397
Honolulu,2020-02-08,1340
Astana,2020-02-27,559
Stuttgart,2020-01-26,442
Rome,2020-03-03,1259
Dammam,2020-04-08,1673
Turin,2020-03-08,1389
Nicosia,2020-04-05,233
Adelaide,2020-01-06,913
Geelong,2020-01-05,1164
Istanbul,2020-05-05,645
Punta Arenas,2020-01-11,241
Las Vegas,2020-04-02,651
City of San Marino,2020-03-29,219
Milwaukee,2020-04-18,1888
Reykjavík,2020-02-06,1603
Vancouver,2020-03-29,1329
Düsseldorf,2020-04-17,1259
Abidjan,2020-05-28,1589
Skopje,2020-02-16,686
Bulawayo,2020-02-21,1513
Dakar,2020-04-25,1579
Chihuahua,2020-01-04,1303
Tartu,2020-04-07,218
Whitehorse,2020-02-17,1128
Cincinnati,2020-04-03,381
Bangkok,2020-04-26,339
Labasa,2020-03-31,1335
Ouagadougou,2020-04-15,1154
Innsbruck,2020-04-12,251
Fortaleza,2020-03-26,720
Fort-de-France,2020-04-08,870
Seville,2020-02-03,478
Ipoh,2020-04-28,1359
Belém,2020-04-22,655
Malacca Town,2020-04-18,1148
Caracas,2020-02-28,601
Taichung,2020-01-30,1768
Naypyidaw,2020-04-24,1586
Rio de Janeiro,2020-02-25,736
Bissau,2020-01-28,961
Salt Lake City,2020-02-17,1832
Bucharest,2020-04-11,793
Monrovia,2020-01-23,322
Vienna,2020-05-10,1382
Tokyo,2020-01-22,1892
Baku,2020-03-05,1123
Cali,2020-05-02,788
Kaohsiung,2020-04-17,1611
Pekanbaru,2020-03-30,215
Puerto Williams,2020-04-22,917
Washington,2020-05-30,747
Bangkok,2020-03-17,956
Athens,2020-04-16,1273
Antwerp,2020-01-05,786
Panama City,2020-05-05,1506
Split (city),2020-03-19,345
Amsterdam,2020-05-30,982
Zhengzhou,2020-05-01,1767
Johor Bahru,2020-03-19,1948
Yamoussoukro,2020-01-20,359
Columbus,2020-04-15,1210
Oranjestad,2020-02-15,1977
Balikpapan,2020-02-08,1610
Majuro,2020-04-05,598
Chicago,2020-03-31,595
St. Louis,2020-05-18,1475
Rome,2020-02-13,1326
Mendoza,2020-04-11,1257
Horta (Azores),2020-03-06,346
Arequipa,2020-03-06,1564
Atlanta,2020-05-17,445
Dubai,2020-03-06,816
New Delhi,2020-01-13,767
Leipzig,2020-01-05,753
Lanzhou,2020-01-02,1299
Sacramento,2020-05-07,781
Tucson,2020-05-13,526
Guangzhou,2020-05-04,1510
Ipoh,2020-01-23,1146
Auckland,2020-03-07,894
La Paz,2020-02-15,1428
Lyon,2020-02-16,1720
Barranquilla,2020-01-01,1740
Bergen,2020-05-04,1035
Ürümqi,2020-01-10,1636
Ahmedabad,2020-04-18,1418
Geelong,2020-01-23,869
Shenyang,2020-02-09,1673
Cusco,2020-03-15,354
Dallas,2020-03-18,1079
Mbabane,2020-02-12,1500
Hyderabad,2020-03-22,458
Pittsburgh,2020-02-07,1405
Gibraltar,2020-02-17,815
Vientiane,2020-04-01,1063
Tegucigalpa,2020-05-29,1918
Bern,2020-05-02,1835
Bangalore,2020-04-08,1816
Jaipur,2020-01-15,549
Bucharest,2020-04-01,696
Omdurman,2020-03-22,1428
Hagåtña,2020-03-23,1681
Fortaleza,2020-03-02,312
Pune,2020-01-06,1199
Tianjin,2020-02-03,432
Dodoma,2020-04-11,275
Providence,2020-02-18,187
Pretoria,2020-01-11,667
Dresden,2020-04-16,1355
Curitiba,2020-02-04,607
Dongguan,2020-01-30,426
Odessa,2020-04-14,1814
Taichung,2020-05-24,1764
Geelong,2020-03-06,151
Almaty,2020-04-26,1772
Miami,2020-03-14,1304
Austin,2020-02-15,1955
Dibrugarh,2020-01-13,749
Bissau,2020-04-16,1807
Padang,2020-05-07,1326
Adelaide,2020-02-21,649
Porto Alegre,2020-03-31,524
Malacca Town,2020-04-17,887
Tijuana,2020-02-09,200
Lyon,2020-02-16,1096
Ouagadougou,2020-05-30,1627
Kaohsiung,2020-03-14,394
Saint John,2020-05-08,510
Chongqing,2020-01-16,918
Perth,2020-02-28,1966
Asmara,2020-01-10,1640
Fredericton,2020-05-28,192
Dublin,2020-03-31,785
Ciudad del Este,2020-02-20,710
Hobart,2020-01-24,1311
Almaty,2020-03-30,1090
Bergen,2020-03-05,773
Melbourne,2020-03-14,1577
Paris,2020-05-21,248
Incheon,2020-05-25,499
Avarua,2020-01-28,1827
Sarajevo,2020-05-09,581
Hong Kong,2020-02-05,1170
Pelotas,2020-05-08,480
Kingstown,2020-02-10,1907
Apia,2020-02-17,1875
Mamoudzou,2020-03-03,957
Rawalpindi,2020-04-04,605
Bilbao,2020-01-21,760
Caracas,2020-02-08,1857
Guadalajara,2020-05-04,256
Nukuʻalofa,2020-02-20,949
Jinan,2020-02-22,1940
Düsseldorf,2020-04-13,699
Surabaya,2020-04-14,466
Santa Cruz de Tenerife,2020-03-02,919
Malé,2020-01-29,667
Taichung,2020-02-08,527
Kuwait City,2020-05-03,1080
Yamoussoukro,2020-05-15,859
Manchester,2020-03-24,1255
Graz,2020-03-05,1130
Liverpool,2020-03-24,790
Gaziantep,2020-05-28,1025
St. Louis,2020-02-25,353
Kaohsiung,2020-05-16,1976
Chaguanas,2020-04-17,493
Winnipeg,2020-04-17,1391
Birmingham,2020-03-09,816
Copenhagen,2020-04-23,1954
Gdańsk,2020-04-23,470
Saint-Pierre,2020-02-08,129
Tamale,2020-01-16,1999
Andorra la Vella,2020-04-02,1490
Omsk,2020-03-22,1832
Geelong,2020-01-15,1492
Lagos,2020-01-24,1877
Chicago,2020-05-26,905
Curitiba,2020-04-15,1074
Rabat,2020-03-08,312
Dublin,2020-04-22,1843
Pelotas,2020-04-18,1192
Apia,2020-02-24,1891
Pekanbaru,2020-03-14,999
Budapest,2020-01-22,525
Zapopan,2020-03-12,1965
Semarang,2020-05-29,879
Okinawa,2020-05-29,743
Ilhéus,2020-03-05,564
Ndola,2020-01-21,1195
Lanzhou,2020-03-15,1437
Pattaya,2020-05-31,536
Zagreb,2020-04-11,1616
Alofi,2020-02-19,370
Cartagena,2020-01-05,911
Cayenne,2020-05-12,1792
Chiang Mai,2020-01-30,1840
Lisbon,2020-01-30,547
Yakutsk,2020-02-26,404
Port of Spain,2020-04-27,1668
Kingstown,2020-02-10,1740
Kinshasa,2020-01-07,246
Surabaya,2020-03-23,1848
Saint-Pierre,2020-03-21,969
Lusaka,2020-02-08,488
Dallas,2020-04-18,1973
Rawalpindi,2020-05-16,1282
Barranquilla,2020-05-11,461
Nantes,2020-04-10,1225
Majuro,2020-02-27,727
Cannes,2020-05-08,967
Jakarta,2020-02-15,1625
Salzburg,2020-05-29,1967
Yellowknife,2020-01-16,847
Nice,2020-04-24,260
Helsinki,2020-05-11,280
Adelaide,2020-01-17,1636
Malé,2020-05-15,877
Chiang Mai,2020-01-27,1313
Jeddah,2020-03-10,489
Bilbao,2020-01-30,1520
New York City,2020-05-26,1158
Ciudad del Este,2020-05-14,1354
Monterrey,2020-02-02,1198
Manchester,2020-02-19,1549
Alexandria,2020-04-21,1534
Rabi Island,2020-04-07,1399
Ürümqi,2020-04-14,1913
Melbourne,2020-04-08,1783
Dresden,2020-01-06,480
Douala,2020-02-12,1812
Belgrade,2020-03-01,1130
Singapore,2020-02-08,1961
Providence,2020-03-01,1614
Kawasaki,2020-05-19,1800
Tskhinvali,2020-05-10,224
São Paulo,2020-05-14,256
Atlanta,2020-02-08,182
Albuquerque,2020-01-23,357
Barcelona,2020-02-02,268
Bissau,2020-04-03,1889
Port Louis,2020-02-12,501
Tokyo,2020-01-19,865
Amsterdam,2020-05-30,1971
Birmingham,2020-05-22,1238
Pyongyang,2020-03-18,1382
Iloilo City,2020-05-10,1523
Brazzaville,2020-02-27,731
Denver,2020-02-26,1728
Belize City,2020-05-18,1133
Amman,2020-02-25,157
Ottawa,2020-01-31,1909
Doha,2020-03-02,1680
Kaliningrad,2020-03-28,982
Kingston,2020-04-09,1767
Koulikoro,2020-01-19,117
Wichita,2020-01-07,1771
Tegucigalpa,2020-02-15,1811
Bloemfontein,2020-03-01,198
Cuiabá,2020-02-07,1378
Riverside,2020-01-01,1295
Naypyidaw,2020-04-25,295
Hanga Roa,2020-05-06,950
Nuuk,2020-03-16,923
San José,2020-02-24,1008
Raleigh,2020-02-17,725
Casablanca,2020-05-19,793
Norilsk,2020-01-18,1421
Brasília,2020-03-30,1167
Reykjavík,2020-03-29,729
Harbin,2020-03-09,1413
Jayapura,2020-01-31,1531
Dallas,2020-02-05,1546
Valencia,2020-03-15,1138
Córdoba,2020-03-18,437
Pelotas,2020-01-30,1001
Toronto,2020-04-01,410
Agartala,2020-05-21,1228
Dongguan,2020-05-26,382
Yekaterinburg,2020-05-05,852
Majuro,2020-01-14,1234
Wellington,2020-05-06,639
Castries,2020-05-17,1033
Medina,2020-05-09,1782
Hai Phong,2020-05-28,1032
Chiang Mai,2020-05-14,1576
Townsville,2020-03-23,1579
Daegu,2020-04-12,743
Port Hedland,2020-02-13,939
Labasa,2020-02-21,510
Kuala Lumpur,2020-05-06,1407
Konya,2020-02-04,1200
Boa Vista,2020-04-04,1141
Abuja,2020-05-18,1309
Gaborone,2020-04-16,1444
Liverpool,2020-05-16,1200
Darwin,2020-01-14,1671
Hagåtña,2020-02-13,1149
Leipzig,2020-01-21,481
Whitehorse,2020-04-26,995
Budapest,2020-02-08,827
Ouagadougou,2020-05-05,1300
Chicago,2020-05-02,767
Lhasa,2020-03-20,624
Turin,2020-03-10,1971
Astana,2020-05-02,1320
Kharkiv,2020-03-18,236
Riyadh,2020-03-26,153
Las Vegas,2020-03-19,251
Kingstown,2020-04-04,1852
Kawasaki,2020-04-20,397
Shigatse,2020-01-12,118
Guatemala City,2020-01-02,1213
Tskhinvali,2020-02-08,1593
Kobe,2020-03-07,1847
Amsterdam,2020-04-30,1807
Kathmandu,2020-02-18,290
Makassar,2020-05-21,1221
Christchurch,2020-02-05,1551
Iquitos,2020-04-09,1057
San Juan,2020-05-29,1973
Norilsk,2020-01-15,1424
Caracas,2020-05-26,1322
Gibraltar,2020-02-10,926
Hagåtña,2020-02-22,1720
Namangan,2020-05-08,244
Phuket (city),2020-04-14,1813
Incheon,2020-04-18,723
Memphis,2020-05-20,1109
Koror,2020-05-15,1024
Zhengzhou,2020-02-02,744
Bangalore,2020-02-01,1440
Surat,2020-01-25,1836
Fort-de-France,2020-01-13,914
Prague,2020-02-25,1996
Chiang Mai,2020-03-21,202
Ulan Bator,2020-04-02,1581
Concepción,2020-05-31,231
Gothenburg,2020-01-28,955
Bucharest,2020-04-24,1720
San Diego,2020-04-07,992
Hanga Roa,2020-03-20,602
La Paz,2020-01-02,927
Chiang Mai,2020-03-21,1127
Las Palmas de Gran Canaria,2020-05-22,971
Kharkiv,2020-03-05,1088
Tamale,2020-05-08,1983
Fredericton,2020-01-09,775
Tunis,2020-02-17,594
Muscat,2020-02-13,1545
New Delhi,2020-01-10,1449
Chongjin,2020-03-30,864
Dongguan,2020-04-03,1842
Lubumbashi,2020-03-05,889
Zhengzhou,2020-01-28,782
Chicago,2020-03-12,1696
Medan,2020-05-24,1433
Hargeisa,2020-03-23,1522
Pristina,2020-03-08,1778
Yangon,2020-05-13,1233
Juneau,2020-01-27,1683
Toulouse,2020-05-08,894
Munich,2020-01-29,708
Tallinn,2020-05-09,920
Lhasa,2020-01-02,322
Pago Pago,2020-04-02,257
Dongguan,2020-04-27,1308
Nice,2020-03-05,1834
Hai Phong,2020-04-22,1319
Whitehorse,2020-03-03,1939
Ibiza,2020-05-19,1313
Ürümqi,2020-03-07,1720
Hyderabad,2020-04-14,998
Nuuk,2020-01-23,1362
Koror,2020-05-14,419
Yekaterinburg,2020-05-22,1398
Djibouti (city),2020-02-23,1984
Curitiba,2020-04-03,403
Santo Domingo,2020-03-07,1181
Xi'an,2020-03-04,1369
Samara,2020-01-10,264
Kanpur,2020-03-02,885
Bangkok,2020-05-21,194
Maseru,2020-03-11,153
Cartagena,2020-04-08,1880
Málaga,2020-05-15,1131
Santa Cruz de la Sierra,2020-01-09,602
Chongjin,2020-01-09,1082
Hat Yai,2020-01-03,867
Baghdad,2020-01-13,1735
Agartala,2020-03-01,1607
Dushanbe,2020-03-22,1272
Denver,2020-03-24,237
Sarajevo,2020-05-13,1977
Jayapura,2020-02-15,1985
Makati City,2020-02-18,1137
Veracruz,2020-03-06,957
Nanjing,2020-01-25,117
Marrakech,2020-01-17,943
Cockburn Town,2020-03-11,908
Vladivostok,2020-05-29,411
Boa Vista,2020-04-18,218
Harbin,2020-04-10,1793
Ponta Delgada,2020-05-20,685
Munich,2020-01-10,1332
Mérida,2020-04-04,1483
Berlin,2020-04-06,1926
Memphis,2020-02-21,288
Sitka,2020-05-02,360
Phuket (city),2020-05-24,186
Manama,2020-04-23,766
Dar es Salaam,2020-05-18,533
Dallas,2020-04-13,101
Road Town,2020-03-19,146
Willemstad,2020-01-13,1591
Split (city),2020-05-25,1631
Dibrugarh,2020-03-31,1155
Da Nang,2020-03-30,1277
Bursa,2020-01-16,958
Bandar Seri Begawan,2020-05-20,1817
Istanbul,2020-04-07,1672
Jakarta,2020-01-01,1079
Magadan,2020-05-25,758
Chiang Mai,2020-04-30,1784
El Aaiún,2020-02-25,1770
Birkirkara,2020-01-19,834
Oklahoma City,2020-04-19,548
Leipzig,2020-05-27,656
Port Vila,2020-04-03,1752
Accra,2020-04-19,1658
Seoul,2020-02-16,499
Cleveland,2020-01-22,783
Leeds,2020-03-30,223
Whitehorse,2020-05-10,1150
Bamako,2020-05-14,1143
Perm,2020-02-23,1015
Tampere,2020-01-31,1921
Santiago,2020-05-03,1810
Harare,2020-02-13,1213
Da Nang,2020-03-24,818
Belgrade,2020-05-16,917
Hangzhou,2020-03-04,1084
Tijuana,2020-05-11,586
Bratsk,2020-01-16,1681
Guwahati,2020-03-21,693
Yekaterinburg,2020-03-05,1703
Detroit,2020-03-05,1712
São Paulo,2020-04-29,1700
Casablanca,2020-03-06,899
Ibiza,2020-03-09,759
Okinawa,2020-05-16,1682
Andorra la Vella,2020-03-25,159
Damascus,2020-04-11,1425
Santo Domingo,2020-03-01,182
Kano,2020-05-24,840
Santiago,2020-03-23,1597
Valencia,2020-01-01,1258
Bulawayo,2020-01-14,189
Tamale,2020-03-07,1723
Auckland,2020-02-07,1858
Pristina,2020-02-03,854
Udon Thani,2020-04-30,1215
Sofia,2020-01-27,1132
Shanghai,2020-05-02,1125
Bamako,2020-03-18,1361
Phnom Penh,2020-02-12,351
Perth,2020-03-18,581
Daegu,2020-05-13,526
San Salvador,2020-03-13,1231
Adamstown,2020-01-13,1524
Malacca Town,2020-02-29,1807
Ciudad del Este,2020-03-20,628
Cleveland,2020-04-21,1897
Pyongyang,2020-03-09,1150
Tegucigalpa,2020-05-16,1788
Bangui,2020-03-27,1128
Palembang,2020-04-15,750
Kansas City,2020-02-25,1079
Mashhad,2020-04-23,480
Tijuana,2020-02-04,464
Mexico City,2020-03-25,983
Las Vegas,2020-01-04,1756
Taipei,2020-01-23,793
Iquitos,2020-03-15,984
Bratsk,2020-05-31,758
Iloilo City,2020-02-29,1715
Makati City,2020-02-18,410
Thessaloniki,2020-01-17,753
Birmingham,2019-12-31,1718
Saskatoon,2020-04-12,1234
Ankara,2020-02-15,774
Baku,2020-05-10,117
Zhengzhou,2020-05-23,176
Las Vegas,2020-03-18,1809
Warsaw,2020-03-08,429
Andorra la Vella,2020-04-22,773
Bucharest,2020-03-20,760
Tampa,2020-05-07,129
Roseau,2020-04-13,440
Apia,2020-04-12,1045
Belmopan,2020-01-24,1507
Yerevan,2020-04-12,1594
Kraków,2020-01-21,1650
Porto-Novo,2020-03-26,384
Adak,2020-03-25,1927
Medellín,2020-02-07,1287
Chiang Mai,2020-03-26,1866
Castries,2020-05-14,527
Da Nang,2020-03-16,611
Weno,2020-01-04,806
Brisbane,2020-01-18,1571
Yellowknife,2020-04-03,595
Vaduz,2020-04-26,1438
New Orleans,2020-01-04,1130
Valencia,2020-04-25,566
Denpasar,2020-04-03,1082
Angra do Heroísmo,2020-01-24,1105
Kolkata,2020-05-06,1816
Dubai,2020-02-12,281
Fredericton,2020-03-11,1972
Mogadishu,2020-04-27,258
La Serena,2020-02-23,1782
Turin,2020-04-12,947
Mexicali,2020-03-25,842
Alor Star,2020-04-08,1466
San Carlos de Bariloche,2020-01-27,655
Naples,2020-03-05,650
Libreville,2020-05-25,641
Montevideo,2020-03-09,942
Louisville,2020-03-23,1991
Ouagadougou,2020-03-25,1598
Dar es Salaam,2020-05-25,1274
Melekeok,2020-03-14,720
Cusco,2020-04-28,715
Melbourne,2020-01-13,1565
Calama,2020-04-08,1502
Vaduz,2020-02-23,1379
Tallinn,2020-03-10,851
Sitka,2020-01-03,1273
Toulouse,2020-01-11,1708
Portland,2020-04-15,1943
San José,2020-04-03,511
Perth,2020-01-28,787
Istanbul,2020-05-05,1611
Djibouti (city),2020-05-10,1973
Gothenburg,2020-01-22,1800
Ahmedabad,2020-04-05,1747
Kaohsiung,2020-01-04,1015
Barcelona,2020-05-08,108
Zamboanga City,2020-04-09,749
Rome,2020-02-24,812
Hangzhou,2020-04-29,651
Kolkata,2020-02-29,1162
Fairbanks,2020-03-27,746
Rabi Island,2020-03-07,821
Paramaribo,2020-03-01,703
Portland,2020-05-30,1238
Mbabane,2020-01-09,1043
Hamilton,2020-03-05,209
Regina,2020-04-07,154
Managua,2020-03-05,1192
Novosibirsk,2020-03-06,1825
Oranjestad,2020-02-18,731
Wuhan,2020-04-19,371
Ottawa,2020-03-25,1533
Bangkok,2020-03-28,1127
Valparaíso,2020-04-15,531
Gaza,2020-04-26,933
Padang,2020-04-09,209
Zhengzhou,2020-02-21,345
San Salvador,2020-05-01,1098
Tallinn,2020-05-24,1819
Ipoh,2020-01-23,1753
San Diego,2020-03-20,1454
Tskhinvali,2020-03-02,1424
Wellington,2020-01-14,1374
Anadyr (town),2020-01-21,375
Phoenix,2020-03-02,1486
Amsterdam,2020-01-18,148
Casablanca,2020-05-30,695
Tampere,2020-05-01,1363
Dongguan,2020-02-03,746
Apia,2020-02-28,1233
Santo Domingo,2020-02-12,1668
Wuhan,2020-03-17,311
Split (city),2020-03-06,904
Aberdeen,2020-04-26,1168
Yakutsk,2020-03-05,575
Mandurah,2020-05-13,342
Astana,2020-05-08,1024
Athens,2020-01-05,132
Ljubljana,2020-05-22,1893
Pyongyang,2020-04-28,1147
Mashhad,2020-03-03,1655
Gaza,2020-03-10,233
Nukuʻalofa,2020-03-18,592
Birmingham,2020-05-18,160
Quito,2020-01-06,1910
Marseille,2020-01-06,295
Atlanta,2020-05-01,1530
Macau,2020-01-03,477
Jaipur,2020-01-31,1284
Lilongwe,2020-03-20,1411
Veracruz,2020-04-19,223
Kandy,2020-03-09,634
Palma,2020-05-01,1430
Port Said,2020-01-11,986
Valencia,2020-04-13,326
Tartu,2020-02-15,409
Quebec City,2020-02-27,1020
São Tomé,2020-01-28,117
Macapá,2020-05-16,344
Zhengzhou,2020-05-12,1829
Naples,2020-05-24,355
Luxor,2020-02-11,452
Panama City,2020-04-28,1738
Kansas City,2020-03-18,576
Graz,2020-05-26,1490
Cayenne,2020-02-20,1741
Amritsar,2020-03-27,1882
Gothenburg,2020-01-28,1901
Hamburg,2020-04-22,1840
Brazzaville,2020-03-25,166
Chicago,2020-03-12,319
Graz,2020-05-12,1605
Lucknow,2020-05-20,1896
Khartoum,2020-02-03,1087
Palembang,2020-04-02,449
Monrovia,2020-03-21,216
Ibadan,2020-05-02,900
Dallas,2020-01-25,1007
Paramaribo,2020-04-10,906
Taichung,2020-03-19,899
Kraków,2020-05-21,1630
Nagoya,2020-04-09,433
Kaesong,2020-01-07,1162
Hai Phong,2020-03-15,1498
Sabha,2020-04-17,1025
Valencia,2020-02-09,1157
Almaty,2020-04-22,979
Marseille,2020-01-19,1086
Birmingham,2020-03-07,1295
Jinan,2020-01-05,1087
Antananarivo,2020-05-25,448
Bandung,2020-04-27,1901
